2025-09-08 08:27:10.867001 +00:00,204,11.563001,7.768
2025-09-11 13:32:56.569001 +00:00,196,1.814,
2025-09-11 13:39:36.608001 +00:00,195,8.521,1.7
2025-09-11 13:32:56.567001 +00:00,194,3.3470001,
2025-09-11 13:32:44.918001 +00:00,194,1.66,
2025-09-10 08:00:06.404001 +00:00,193,8.513,1.628
2025-09-10 08:00:06.401001 +00:00,190,3.404,1.628
2025-09-10 10:12:08.531001 +00:00,188,2.835,1.648
2025-09-10 07:14:42.541001 +00:00,188,7.333,1.643
2025-09-03 06:58:15.834001 +00:00,188,1.618,2.48
2025-09-10 08:00:06.399001 +00:00,188,1.656,1.628
2025-09-10 09:04:39.756001 +00:00,187,1.822,4.9430003
2025-09-03 06:58:15.833001 +00:00,187,1.847,2.48
2025-09-11 13:32:44.911001 +00:00,187,6.544,
2025-09-08 10:22:51.124001 +00:00,187,2.086,2.596
2025-09-08 10:24:28.185001 +00:00,187,2.167,3.5649998
2025-09-10 10:57:38.596001 +00:00,187,1.604,1.931
2025-09-03 11:00:21.051001 +00:00,187,8.181,2.024
2025-09-03 11:00:21.051001 +00:00,187,2.0049999,2.024
2025-09-03 11:00:21.051001 +00:00,187,2.842,2.024
2025-10-03 09:44:28.671001 +00:00,187,1.666,4.9760003
2025-09-03 08:47:28.359001 +00:00,187,1.8149999,1.717
2025-09-08 08:27:10.850001 +00:00,187,1.6949999,7.768
2025-09-10 10:12:08.530001 +00:00,187,1.617,1.648
2025-09-04 07:16:56.161001 +00:00,187,6.65,4.393
2025-09-05 12:50:05.708001 +00:00,187,3.507,2.8999999
2025-09-10 07:14:23.154001 +00:00,186,1.618,2.8109999
2025-09-10 08:00:06.397001 +00:00,186,1.65,1.628
2025-09-10 06:49:28.487001 +00:00,186,1.655,7.127
2025-09-05 11:46:25.183001 +00:00,186,13.717999,1.832
2025-09-10 06:49:28.487001 +00:00,186,7.264,7.127
2025-09-04 07:16:56.160001 +00:00,186,1.8429999,4.393
2025-09-03 08:46:50.485001 +00:00,186,12.254,7.268
2025-09-10 10:57:22.302001 +00:00,186,7.757,1.76
2025-09-05 11:46:25.183001 +00:00,186,1.7650001,1.832
2025-09-03 08:12:12.060001 +00:00,186,4.363,1.8100001
2025-09-10 10:12:08.529001 +00:00,186,1.641,1.648
2025-09-03 11:00:21.050001 +00:00,186,8.4800005,2.024
2025-10-03 09:43:24.221001 +00:00,186,1.559,1.5389999
2025-09-10 08:29:12.056001 +00:00,186,1.7190001,1.774
2025-09-03 08:13:47.604001 +00:00,185,1.878,4.363
2025-09-10 06:49:38.248001 +00:00,185,2.1520002,1.725
2025-09-03 10:14:44.534001 +00:00,185,7.242,2.0049999
2025-09-03 10:14:44.534001 +00:00,185,8.497,2.0049999
2025-09-10 08:28:49.134001 +00:00,185,1.665,1.886
2025-09-10 08:28:49.134001 +00:00,185,1.9829999,1.886
2025-09-08 08:27:28.246001 +00:00,185,1.668,1.787
2025-09-05 12:50:43.107001 +00:00,185,12.393,13.58
2025-09-05 12:02:20.497001 +00:00,185,1.789,4.9100003
2025-09-05 12:02:20.497001 +00:00,185,1.747,4.9100003
2025-09-10 10:12:31.280001 +00:00,185,2.2350001,1.689
2025-09-10 08:29:41.866001 +00:00,185,1.537,1.707
2025-09-04 07:17:16.175001 +00:00,185,2.1460001,1.846
2025-09-03 08:12:47.397001 +00:00,185,1.855,1.7800001
2025-09-08 08:27:10.848001 +00:00,185,1.803,7.768
2025-09-05 11:46:25.182001 +00:00,185,1.721,1.832
2025-09-10 10:57:38.594001 +00:00,185,1.6110001,1.931
2025-09-03 11:00:21.049001 +00:00,185,3.046,2.024
2025-09-08 10:22:51.121001 +00:00,184,4.137,2.596
2025-09-05 11:46:46.518001 +00:00,184,2.0029998,7.724
2025-09-08 10:24:12.996001 +00:00,184,2.49,1.531
2025-09-04 07:17:16.174001 +00:00,184,1.86,1.846
2025-09-10 07:14:23.152001 +00:00,184,2.913,2.8109999
2025-09-04 08:13:44.063001 +00:00,184,1.932,8.603
2025-09-10 10:12:08.527001 +00:00,184,1.548,1.648
2025-09-10 10:57:38.593001 +00:00,184,1.551,1.931
2025-09-10 10:12:08.527001 +00:00,184,1.503,1.648
2025-09-03 10:14:44.533001 +00:00,184,8.488,2.0049999
2025-09-10 07:14:42.537001 +00:00,184,1.704,1.643
2025-09-10 08:29:12.054001 +00:00,184,1.625,1.774
2025-09-10 08:29:12.054001 +00:00,184,1.842,1.774
2025-09-10 08:00:25.015001 +00:00,184,1.842,1.523
2025-09-03 08:13:47.603001 +00:00,184,1.8690001,4.363
2025-09-10 10:13:08.446001 +00:00,184,1.508,1.64
2025-09-10 09:03:37.317001 +00:00,184,3.455,1.875
2025-09-03 10:14:20.454001 +00:00,184,8.181,1.6899999
2025-09-10 08:00:06.395001 +00:00,184,1.59,1.628
2025-09-05 12:50:05.705001 +00:00,184,3.8769999,2.8999999
2025-10-03 09:44:28.668001 +00:00,184,1.515,4.9760003
2025-09-08 08:27:10.846001 +00:00,183,3.918,7.768
2025-09-03 10:15:23.803001 +00:00,183,2.024,3.943
2025-09-10 09:04:39.752001 +00:00,183,1.732,4.9430003
2025-09-10 08:00:25.014001 +00:00,183,1.586,1.523
2025-09-03 06:58:15.829001 +00:00,183,30.317,2.48
2025-09-04 07:17:16.173001 +00:00,183,11.308001,1.846
2025-09-10 07:14:42.536001 +00:00,183,1.798,1.643
2025-09-04 08:13:44.062001 +00:00,183,1.654,8.603
2025-09-10 10:57:22.299001 +00:00,183,1.73,1.76
2025-09-10 10:57:38.592001 +00:00,183,1.63,1.931
2025-09-05 11:46:25.180001 +00:00,183,1.569,1.832
2025-09-08 10:24:28.181001 +00:00,183,2.086,3.5649998
2025-09-08 10:24:12.995001 +00:00,183,3.772,1.531
2025-09-03 08:12:12.057001 +00:00,183,1.855,1.8100001
2025-09-05 11:46:25.179001 +00:00,182,2.0649998,1.832
2025-09-03 08:46:50.481001 +00:00,182,1.7190001,7.268
2025-09-10 10:12:31.277001 +00:00,182,1.564,1.689
2025-09-04 08:13:44.061001 +00:00,182,1.713,8.603
2025-09-08 08:28:03.340001 +00:00,182,1.6730001,4.9589996
2025-10-03 09:43:24.217001 +00:00,182,1.508,1.5389999
2025-09-10 06:49:38.245001 +00:00,182,1.7160001,1.725
2025-09-05 12:50:05.703001 +00:00,182,3.548,2.8999999
2025-09-03 06:58:15.828001 +00:00,182,1.901,2.48
2025-09-10 08:29:41.863001 +00:00,182,1.58,1.707
2025-09-08 10:22:51.119001 +00:00,182,2.659,2.596
2025-09-08 10:22:51.119001 +00:00,182,4.744,2.596
2025-09-05 12:49:46.254001 +00:00,182,1.911,11.649
2025-09-03 10:14:20.452001 +00:00,182,7.757,1.6899999
2025-09-10 08:00:06.393001 +00:00,182,1.49,1.628
2025-10-03 09:44:28.666001 +00:00,182,1.606,4.9760003
2025-09-08 10:22:51.119001 +00:00,182,3.145,2.596
2025-09-04 08:13:44.061001 +00:00,182,2.515,8.603
2025-09-03 08:13:47.601001 +00:00,182,1.9640001,4.363
2025-09-10 07:14:23.150001 +00:00,182,1.5780001,2.8109999
2025-09-05 11:46:25.179001 +00:00,182,1.711,1.832
2025-09-05 11:46:25.179001 +00:00,182,2.2740002,1.832
2025-09-03 08:46:50.481001 +00:00,182,2.7050002,7.268
2025-09-04 07:16:56.156001 +00:00,182,3.856,4.393
2025-09-10 08:00:56.381001 +00:00,182,1.5389999,2.651
2025-09-05 12:02:20.494001 +00:00,182,3.158,4.9100003
2025-09-03 08:13:47.601001 +00:00,182,1.694,4.363
2025-09-03 08:13:47.601001 +00:00,182,12.254,4.363
2025-09-04 08:13:20.398001 +00:00,182,1.6919999,2.091
2025-09-03 08:12:12.056001 +00:00,182,1.878,1.8100001
2025-09-10 08:29:41.863001 +00:00,182,1.608,1.707
2025-09-04 08:13:44.061001 +00:00,182,2.108,8.603
2025-09-05 11:46:25.178001 +00:00,181,1.8050001,1.832
2025-09-10 08:29:41.862001 +00:00,181,2.819,1.707
2025-09-11 14:16:19.417001 +00:00,181,,
2025-09-03 10:14:44.530001 +00:00,181,1.874,2.0049999
2025-09-08 08:27:10.844001 +00:00,181,1.6420001,7.768
2025-09-10 09:03:57.294001 +00:00,181,1.669,7.0270004
2025-09-05 12:50:05.702001 +00:00,181,2.627,2.8999999
2025-09-10 08:29:12.051001 +00:00,181,1.757,1.774
2025-09-03 08:13:47.600001 +00:00,181,1.852,4.363
2025-10-03 09:43:24.216001 +00:00,181,1.706,1.5389999
2025-09-08 10:24:28.179001 +00:00,181,2.69,3.5649998
2025-09-05 12:50:43.103001 +00:00,181,1.59,13.58
2025-09-03 06:58:15.827001 +00:00,181,1.943,2.48
2025-09-03 10:14:20.451001 +00:00,181,1.9739999,1.6899999
2025-09-10 07:14:42.534001 +00:00,181,8.247,1.643
2025-09-10 06:49:28.482001 +00:00,181,2.958,7.127
2025-09-04 07:17:16.171001 +00:00,181,1.547,1.846
2025-09-11 13:32:44.905001 +00:00,181,2.679,
2025-09-03 10:15:23.801001 +00:00,181,3.046,3.943
2025-09-10 10:13:08.442001 +00:00,180,7.229,1.64
2025-09-08 10:24:12.992001 +00:00,180,2.887,1.531
2025-09-03 08:12:47.392001 +00:00,180,1.666,1.7800001
2025-09-08 08:27:10.843001 +00:00,180,3.814,7.768
2025-09-03 10:14:20.450001 +00:00,180,1.863,1.6899999
2025-09-04 07:17:16.170001 +00:00,180,6.6920004,1.846
2025-09-04 07:17:16.170001 +00:00,180,1.5389999,1.846
2025-09-04 07:17:16.170001 +00:00,180,4.988,1.846
2025-09-03 10:14:20.450001 +00:00,180,2.1299999,1.6899999
2025-10-03 09:43:24.215001 +00:00,180,1.515,1.5389999
2025-09-10 08:00:06.391001 +00:00,180,1.526,1.628
2025-09-10 08:00:06.391001 +00:00,180,3.951,1.628
2025-09-08 10:22:51.117001 +00:00,180,7.719,2.596
2025-09-10 09:04:39.749001 +00:00,180,1.962,4.9430003
2025-09-05 11:46:25.177001 +00:00,180,1.9690001,1.832
